line_path,page_id,source_id,line_id,text,width,height,n_chars
dudhadasa1900__01__r7l43.png,dudhadasa1900__01,dudhadasa1900,r7l43,श्रीपरमहंसाग्रगण्य श्रीबाबा दूधदासने रामरसरसिक पुरुषों,1285,79,54
dudhadasa1900__01__r7l45.png,dudhadasa1900__01,dudhadasa1900,r7l45,के अवलोकनार्थ भक्ति पूर्व्वक बड़े परिश्रमसे संस्कृत से,1188,69,54
dudhadasa1900__01__r7l46.png,dudhadasa1900__01,dudhadasa1900,r7l46,भाषा छंद बंधमें निर्मित किया,666,81,28
dudhadasa1900__01__line_1518443432065_237.png,dudhadasa1900__01,dudhadasa1900,line_1518443432065_237,दूसरी बार,218,95,9
dudhadasa1900__01__r7l50.png,dudhadasa1900__01,dudhadasa1900,r7l50,लखनऊ,224,78,4
dudhadasa1900__01__r7l51.png,dudhadasa1900__01,dudhadasa1900,r7l51,"मुंशीनवलकिशोर (सी, आई, ई) के छापेखानेमें छपी",605,82,44
dudhadasa1900__01__r7l52.png,dudhadasa1900__01,dudhadasa1900,r7l52,सन् १९०० ई०,198,67,11
dudhadasa1900__02__line_1518443564367_246.png,dudhadasa1900__02,dudhadasa1900,line_1518443564367_246,अश्वमेधयज्ञ श्रीरामचन्द्रजीकी ॥,1215,110,31
dudhadasa1900__02__line_1518443567010_247.png,dudhadasa1900__02,dudhadasa1900,line_1518443567010_247,सोरठा ॥,224,101,7
dudhadasa1900__02__line_1518443573165_248.png,dudhadasa1900__02,dudhadasa1900,line_1518443573165_248,बन्दौं चरण पुनीत गुण प्रतिपालन गजवदन ।,1267,108,38
dudhadasa1900__02__line_1518443581734_249.png,dudhadasa1900__02,dudhadasa1900,line_1518443581734_249,जे पूजत करि प्रीत होत परम कल्याणमय ॥,1278,95,36
dudhadasa1900__02__line_1518443588669_250.png,dudhadasa1900__02,dudhadasa1900,line_1518443588669_250,बन्दौं गुरु पदरेनु मन रञ्जन अञ्जन दृगन ।,1279,94,40
dudhadasa1900__02__line_1518443596014_251.png,dudhadasa1900__02,dudhadasa1900,line_1518443596014_251,मुद मंगल सुख देनु सूझिपरै रघुबर चरित ॥,1269,90,38
dudhadasa1900__02__line_1518443603487_252.png,dudhadasa1900__02,dudhadasa1900,line_1518443603487_252,बन्दौं तनयसमीर ज्ञानखान रघुनाथ प्रिय ।,1273,88,38
dudhadasa1900__02__line_1518443610532_253.png,dudhadasa1900__02,dudhadasa1900,line_1518443610532_253,जासु हृदय रघुबीर बसहिं सदा शरचापधर ॥,1270,99,36
dudhadasa1900__02__line_1518443617602_254.png,dudhadasa1900__02,dudhadasa1900,line_1518443617602_254,बन्दौं अज सनकादि सनक सनातन जय विजय ।,1266,91,36
dudhadasa1900__02__line_1518443625368_255.png,dudhadasa1900__02,dudhadasa1900,line_1518443625368_255,ऋषि परमारथवादि जे नित गावहिं राम यश ॥,1258,100,37
dudhadasa1900__02__line_1518443632315_256.png,dudhadasa1900__02,dudhadasa1900,line_1518443632315_256,बन्दौं सिन्धुसुजान शैलसुता षटमुख सहित ।,1262,92,39
dudhadasa1900__02__line_1518443642227_257.png,dudhadasa1900__02,dudhadasa1900,line_1518443642227_257,सकल सुमंगलखान नन्दीपति गिरिजारमण ॥,1254,101,34
dudhadasa1900__02__line_1518443653535_258.png,dudhadasa1900__02,dudhadasa1900,line_1518443653535_258,बन्दौं रघुबर पद जलजाता । आरतिहरण परमसुखदाता ॥,1546,90,45
dudhadasa1900__02__line_1518443663746_259.png,dudhadasa1900__02,dudhadasa1900,line_1518443663746_259,पुनि लक्ष्मण युगचरण नमामी । बीर धुरीण राम अनुगामी ॥,1557,88,51
dudhadasa1900__02__line_1518443671365_260.png,dudhadasa1900__02,dudhadasa1900,line_1518443671365_260,बन्दौं चरण भरत द्वउ भाई । शील सनेह ज्ञान अधिकाई ॥,1544,95,49
dudhadasa1900__02__line_1518443679868_261.png,dudhadasa1900__02,dudhadasa1900,line_1518443679868_261,बन्दौं तीरथराज प्रयागा । मज्जनते कोटिन अघभागा ॥,1553,88,47
dudhadasa1900__02__line_1518443689348_262.png,dudhadasa1900__02,dudhadasa1900,line_1518443689348_262,बन्दौं साधु सन्त जग जेते । करौं प्रणाम नाय शिर तेते ॥,1550,98,53
dudhadasa1900__02__line_1518443697579_263.png,dudhadasa1900__02,dudhadasa1900,line_1518443697579_263,गिरामूक शारद श्रुति शेशा । सुर मुनि नारद सप्त ऋषेशा ॥,1551,103,53
dudhadasa1900__02__line_1518443706977_264.png,dudhadasa1900__02,dudhadasa1900,line_1518443706977_264,महि पाताल अकाश समेता । भूधर विटप पयोनिधि सेता ॥,1548,96,47
dudhadasa1900__03__r1l1.png,dudhadasa1900__03,dudhadasa1900,r1l1,रामाश्वमेध ।,338,89,12
dudhadasa1900__03__line_1518446009048_265.png,dudhadasa1900__03,dudhadasa1900,line_1518446009048_265,३,58,83,1
dudhadasa1900__03__line_1518446019588_266.png,dudhadasa1900__03,dudhadasa1900,line_1518446019588_266,बन्दौं करजोरे सब काहू । दनुजमण्डली रवि शशिराहू ॥,1560,89,48
dudhadasa1900__03__line_1518446027643_267.png,dudhadasa1900__03,dudhadasa1900,line_1518446027643_267,यह बर देउ धरौं पद माथा । बरणों यश निर्मल रघुनाथा ॥,1549,100,50
dudhadasa1900__03__line_1518446035227_268.png,dudhadasa1900__03,dudhadasa1900,line_1518446035227_268,दो० श्रोता बक्ता युगों युग जे प्रवीण गुणखान ।,1297,84,45
dudhadasa1900__03__line_1518446044784_269.png,dudhadasa1900__03,dudhadasa1900,line_1518446044784_269,कृपाकरहु सेवक समुझि तजि इरषा अभिमान ॥,1164,88,37
dudhadasa1900__03__line_1518446052822_270.png,dudhadasa1900__03,dudhadasa1900,line_1518446052822_270,आगर जेते जीव जहाना । बरणों सबहिं जोरियुगपाना ॥,1548,96,46
dudhadasa1900__03__line_1518446062256_271.png,dudhadasa1900__03,dudhadasa1900,line_1518446062256_271,रघुबर चरित चहूंदिशि पावन । सुखदभवनशुभमोरसुहावन ॥,1548,98,48
dudhadasa1900__03__line_1518446075361_272.png,dudhadasa1900__03,dudhadasa1900,line_1518446075361_272,स्वइ रघुबीर अनूपम गाथा । कहिहौं गुरुपदरजधरिमाथा ॥,1556,87,49
dudhadasa1900__03__line_1518446086559_273.png,dudhadasa1900__03,dudhadasa1900,line_1518446086559_273,जोशिवमुदितउमासनभाषी । सुनतकथारुचिअतिअभिलाषी ॥,1550,96,45
dudhadasa1900__03__line_1518446097907_274.png,dudhadasa1900__03,dudhadasa1900,line_1518446097907_274,बोलीं सरल सुधा सम बानी । पारबती गिरिराज भवानी ॥,1546,94,47
dudhadasa1900__03__line_1518446111791_275.png,dudhadasa1900__03,dudhadasa1900,line_1518446111791_275,लव कुश जन्म यथा श्रुतिगाई । नाथ कृपाकरि कहौ बुझाई ॥,1543,101,51
dudhadasa1900__03__line_1518446122953_276.png,dudhadasa1900__03,dudhadasa1900,line_1518446122953_276,सुनत बचन गिरिजा त्रिपुरारी । प्रभुपदप्रीतिजानिअधिकारी॥,1556,89,54
dudhadasa1900__03__line_1518446134885_277.png,dudhadasa1900__03,dudhadasa1900,line_1518446134885_277,धन्य धन्य हिमवन्त कुमारी । तुससमनहिंक्वउजगहितकारी ॥,1540,94,51
dudhadasa1900__03__line_1518446146200_278.png,dudhadasa1900__03,dudhadasa1900,line_1518446146200_278,जगहित प्रश्न तुम्हार भवानी । कहौंसुनहुनिश्चचयजियआनी॥,1545,98,52
dudhadasa1900__03__line_1518446155124_279.png,dudhadasa1900__03,dudhadasa1900,line_1518446155124_279,दो० सुखसागर पावन परम रघुबर चरित अनूप ।,1295,84,38
dudhadasa1900__03__line_1518446164360_280.png,dudhadasa1900__03,dudhadasa1900,line_1518446164360_280,चरण सरस्वति नायशिरबरणोंमतिअनुरूप ॥,1141,101,34
dudhadasa1900__03__line_1518446179295_281.png,dudhadasa1900__03,dudhadasa1900,line_1518446179295_281,करौंललितशुभचरित अरम्भा । ज्यहिसुनिमिटैमोहमददम्भा ॥,1558,90,50
dudhadasa1900__03__line_1518446187183_282.png,dudhadasa1900__03,dudhadasa1900,line_1518446187183_282,एक समय शंकर अविनाशी । सुखमासदन ज्ञानगुणराशी ॥,1553,98,45
dudhadasa1900__03__line_1518446194422_283.png,dudhadasa1900__03,dudhadasa1900,line_1518446194422_283,योगासन रवि कामद सोहै । देखिस्वरूप चराचर मोहै ॥,1556,90,46
dudhadasa1900__03__line_1518446201813_284.png,dudhadasa1900__03,dudhadasa1900,line_1518446201813_284,जगजननी तहँ शैलकुमारी । छिनछिनपतिआयसुअनुसारी ॥,1549,94,45
dudhadasa1900__03__line_1518446209636_285.png,dudhadasa1900__03,dudhadasa1900,line_1518446209636_285,जो अनुशासन शंकर पावैं । करतसोकाजअबार न लावैं ॥,1552,91,46
dudhadasa1900__03__line_1518446219742_286.png,dudhadasa1900__03,dudhadasa1900,line_1518446219742_286,नित नूतन हरिचरित अनूठे । प्रथमहिंशंभुबचनकह मीठे ॥,1549,96,49
dudhadasa1900__03__line_1518446229878_287.png,dudhadasa1900__03,dudhadasa1900,line_1518446229878_287,गदगद कणठ होहिं बश प्रेमा । कृपानिधान शंभु दृढ़नेमा ॥,1535,91,52
dudhadasa1900__03__line_1518446239665_288.png,dudhadasa1900__03,dudhadasa1900,line_1518446239665_288,दशाबिलोकि मुदित गिरिजाई । बाढ़ी प्रीति चरण रघुराई ॥,1549,95,51
dudhadasa1900__03__line_1518446249531_289.png,dudhadasa1900__03,dudhadasa1900,line_1518446249531_289,प्रथमहिं ते सब चरितसुनावा । सियबनगमनसुनतदुखपावा ॥,1545,94,49
dudhadasa1900__03__line_1518446258477_290.png,dudhadasa1900__03,dudhadasa1900,line_1518446258477_290,दो० नयन नीरभरबिकल तनु जक्त मात करजोरि ।,1296,94,39
dudhadasa1900__03__line_1518446267496_291.png,dudhadasa1900__03,dudhadasa1900,line_1518446267496_291,बोलीं सन्मुख प्राणपति बचन अमीरस बोरि ॥,1144,91,38
dudhadasa1900__03__line_1518446278111_292.png,dudhadasa1900__03,dudhadasa1900,line_1518446278111_292,नाथ चरित प्रभु सिन्धु अपारा । को अस मूढ़ जु चाहै पारा ॥,1552,108,55
dudhadasa1900__04__line_1518447017572_293.png,dudhadasa1900__04,dudhadasa1900,line_1518447017572_293,४,54,92,1
dudhadasa1900__04__r1l1.png,dudhadasa1900__04,dudhadasa1900,r1l1,रामाश्वमेध ।,336,88,12
dudhadasa1900__04__line_1518447026867_294.png,dudhadasa1900__04,dudhadasa1900,line_1518447026867_294,प्रथमजोकहसियविपिननिकारी । सुनि संदेह भयो उर भारी ॥,1540,80,50
dudhadasa1900__04__line_1518447036248_295.png,dudhadasa1900__04,dudhadasa1900,line_1518447036248_295,क्यहि कारण प्रभु दीनसनेही । दीन्ह्यो बास विपिन बैदेही ॥,1543,101,55
dudhadasa1900__04__line_1518447048574_296.png,dudhadasa1900__04,dudhadasa1900,line_1518447048574_296,का अपराध जानकी कीन्हा । कृपासिंधुजेहिलगिबनदीन्हा॥,1538,94,49
dudhadasa1900__04__line_1518447057199_297.png,dudhadasa1900__04,dudhadasa1900,line_1518447057199_297,भयो शोच प्रभुशोच निबेरी । कहो बुझाय जानिम्वहिंचेरी॥,1521,96,51
dudhadasa1900__04__line_1518447065508_298.png,dudhadasa1900__04,dudhadasa1900,line_1518447065508_298,यावत नभ विधि विष्णुपुरारी । प्रथमलीकजगअवनिकुमारी॥,1529,91,49
dudhadasa1900__04__line_1518447073182_299.png,dudhadasa1900__04,dudhadasa1900,line_1518447073182_299,जासु दृष्टि उपजैं गुण खानी । कोटिन रमा उमा ब्रह्मानी ॥,1522,89,54
dudhadasa1900__04__line_1518447082085_300.png,dudhadasa1900__04,dudhadasa1900,line_1518447082085_300,इन्द्रबधू सुर मुनि ऋषिनारी । सदा जासु रुखरहैं निहारी ।,1527,92,54
dudhadasa1900__04__line_1518447091737_301.png,dudhadasa1900__04,dudhadasa1900,line_1518447091737_301,त्यागन विपिन योगनहिं सीता । महादेवकह विधि विपरीता ॥,1519,94,51
dudhadasa1900__04__line_1518447098181_302.png,dudhadasa1900__04,dudhadasa1900,line_1518447098181_302,दो० विपिन बास सुनि विकलभइँ गिरिनंदिनी खगेश ।,1385,86,44
dudhadasa1900__04__line_1518447102213_303.png,dudhadasa1900__04,dudhadasa1900,line_1518447102213_303,प्रभु इतिहास अनूप तब कह्यो बुझाय महेश ॥,1231,88,39
dudhadasa1900__04__line_1518447106251_304.png,dudhadasa1900__04,dudhadasa1900,line_1518447106251_304,असकछु दशाविलोकि भवानी । बोले हर प्रिय कोमलबानी ॥,1526,88,48
dudhadasa1900__04__line_1518447110786_305.png,dudhadasa1900__04,dudhadasa1900,line_1518447110786_305,अतिअपारप्रियगतिजगदीशा । को जानै कह अस गौरीशा ॥,1528,86,46
dudhadasa1900__04__line_1518447115928_306.png,dudhadasa1900__04,dudhadasa1900,line_1518447115928_306,धरि उरधीर भरम सब खोई । सुनहुकथा तुम पूँछ्यो जोई ॥,1533,92,49
dudhadasa1900__04__line_1518447121659_307.png,dudhadasa1900__04,dudhadasa1900,line_1518447121659_307,पिता बचनसुनि रघुकुलकेतू । गवनेबन सिय अनुजसमेतू ॥,1533,96,48
dudhadasa1900__04__line_1518447126727_308.png,dudhadasa1900__04,dudhadasa1900,line_1518447126727_308,मिलहिंबिपिनऋषिकुटीअनेका । सुन्दर बिमल एकते एका ॥,1533,85,48
dudhadasa1900__04__line_1518447131564_309.png,dudhadasa1900__04,dudhadasa1900,line_1518447131564_309,करत मुनिन मग दंडप्रणामा । जाहिंचलेप्रभुछबिअभिरामा ॥,1531,88,51
dudhadasa1900__04__line_1518447137191_310.png,dudhadasa1900__04,dudhadasa1900,line_1518447137191_310,देखिप्रीति ऋषि मुनिवर नारी । प्रेमबिबशभइँ जनककुमारी ॥,1548,94,53
dudhadasa1900__04__line_1518447143601_311.png,dudhadasa1900__04,dudhadasa1900,line_1518447143601_311,असअभिलाष सियाउरआनी । ऋषिनबधूसन बोलीं बानी ॥,1537,91,43
dudhadasa1900__04__line_1518447151327_312.png,dudhadasa1900__04,dudhadasa1900,line_1518447151327_312,करिपूरण पितु बचन प्रमाना । आवहिंकुशलअवधभगवान ॥,1533,92,46
dudhadasa1900__04__line_1518447155321_313.png,dudhadasa1900__04,dudhadasa1900,line_1518447155321_313,दो० तब मैं आउब अवधसे पुजिहौं सबके पांय ।,1271,85,40
dudhadasa1900__04__line_1518447160975_314.png,dudhadasa1900__04,dudhadasa1900,line_1518447160975_314,पहिरावों भूषण बसन भोजनविविध कराय ॥,1110,88,34
dudhadasa1900__04__line_1518447166456_315.png,dudhadasa1900__04,dudhadasa1900,line_1518447166456_315,अस लालसा सिया मनमाहीं । प्रभुसनकहत मुनीशलजाहीं ॥,1537,83,48
dudhadasa1900__04__line_1518447172127_316.png,dudhadasa1900__04,dudhadasa1900,line_1518447172127_316,प्रभु सिय हृदय मनोरथ जाना । बोलेबिहँसि राम भगवाना ।,1537,90,51
dudhadasa1900__04__line_1518447178607_317.png,dudhadasa1900__04,dudhadasa1900,line_1518447178607_317,जो रुचिप्रिय तुम्हरे उर होई । मांगहु बेगि देउँ बर सोई ॥,1541,91,55
dudhadasa1900__04__line_1518447185071_318.png,dudhadasa1900__04,dudhadasa1900,line_1518447185071_318,मो मनकी रुचिजानहु स्वामी । घटघटके तुम अन्तरयामी ॥,1526,91,49
dudhadasa1900__04__line_1518447201572_319.png,dudhadasa1900__04,dudhadasa1900,line_1518447201572_319,तदपि नाथ ऐसो बर पावों । बहुरि नाथ यहिकाननआवों ॥,1532,87,47
dudhadasa1900__04__line_1518447209202_320.png,dudhadasa1900__04,dudhadasa1900,line_1518447209202_320,एवमस्तु कह रघुकुलराया । दीन्ह सुभगबरसियमनभाया ॥,1542,91,47
dudhadasa1900__05__line_1518447286640_322.png,dudhadasa1900__05,dudhadasa1900,line_1518447286640_322,५,46,99,1
dudhadasa1900__05__line_1518447283704_321.png,dudhadasa1900__05,dudhadasa1900,line_1518447283704_321,रामाश्वमेध ।,321,99,12
dudhadasa1900__05__line_1518447290225_323.png,dudhadasa1900__05,dudhadasa1900,line_1518447290225_323,अवधचलबजबअवधिसिराई । तुम्हैं विपिनसँग लषणपठाई ॥,1549,81,46
dudhadasa1900__05__line_1518447295113_324.png,dudhadasa1900__05,dudhadasa1900,line_1518447295113_324,विधिवत पूज्यो सुरमुनि पाऊ । रहै न फिर कछुमन पछिताऊ ॥,1536,87,52
dudhadasa1900__05__line_1518447299428_325.png,dudhadasa1900__05,dudhadasa1900,line_1518447299428_325,जबलग साध कस्यो बनबासू । ह्वैहै सबविधि तुम्हैं सुपासू ॥,1549,85,54
dudhadasa1900__05__line_1518447303850_326.png,dudhadasa1900__05,dudhadasa1900,line_1518447303850_326,दो० सुनिप्रभु वचन विनीतअति जनकसुताखगनाथ ।,1361,89,41
dudhadasa1900__05__line_1518447307073_327.png,dudhadasa1900__05,dudhadasa1900,line_1518447307073_327,चरण सरोरुह नाथ निज मुदित नवायो माथ ।।,1210,85,37
dudhadasa1900__05__line_1518447311282_328.png,dudhadasa1900__05,dudhadasa1900,line_1518447311282_328,असकहि विपिनचले रघुबीरा । सीता सहित अनुज रणधीरा ॥,1537,88,48
dudhadasa1900__05__line_1518447315146_329.png,dudhadasa1900__05,dudhadasa1900,line_1518447315146_329,बनबसि चरित कीन्ह भगवाना । सो खगेश नहिं जायबखाना ।।,1549,90,50
dudhadasa1900__05__line_1518447319101_330.png,dudhadasa1900__05,dudhadasa1900,line_1518447319101_330,सोकिसकैं अब कहि बागीशा । शारद कोटिन कोटि अहीशा ।।,1542,89,49
dudhadasa1900__05__line_1518447323836_331.png,dudhadasa1900__05,dudhadasa1900,line_1518447323836_331,कौन लेख तहँ चेरे दासू । प्रभुपदप्रीति न दृढ़ बिश्वासू ।।,1544,89,56
dudhadasa1900__05__line_1518447327565_332.png,dudhadasa1900__05,dudhadasa1900,line_1518447327565_332,बीते अवधि अवध प्रभुआये । सुनहु उमा सो चरित सुहाये ।।,1542,93,52
dudhadasa1900__05__line_1518447333635_333.png,dudhadasa1900__05,dudhadasa1900,line_1518447333635_333,आयसु पाय केकयी माता । बैठे राज्य राम सुरत्राता ।।,1546,86,49
dudhadasa1900__05__line_1518447340358_334.png,dudhadasa1900__05,dudhadasa1900,line_1518447340358_334,पुरजन आय भेंट धरि आगे । बोले वचन प्रेम रस पागे ।।,1544,85,49
dudhadasa1900__05__line_1518447344215_335.png,dudhadasa1900__05,dudhadasa1900,line_1518447344215_335,नाथ आज बड़ि भाग्य हमारी । चरणकमलरजनयन निहारी ॥,1549,84,46
dudhadasa1900__05__line_1518447348807_336.png,dudhadasa1900__05,dudhadasa1900,line_1518447348807_336,सुरनर असुर नाग मुनिदेवा । मिलिमिलिगयेन जान्योभेवा ॥,1546,90,51
dudhadasa1900__05__line_1518447354060_337.png,dudhadasa1900__05,dudhadasa1900,line_1518447354060_337,छन्द ।।,156,83,7
dudhadasa1900__05__line_1518447359682_338.png,dudhadasa1900__05,dudhadasa1900,line_1518447359682_338,नहिं भेवकोऊ जान मिलि प्रभु देव मुनि हरषित चले ।,1361,98,47
dudhadasa1900__05__line_1518447364226_339.png,dudhadasa1900__05,dudhadasa1900,line_1518447364226_339,तब आय ब्रह्मा कीन अस्तुति जोरि युगबानी भले ॥,1361,78,44
